fecha	cp	minsplit	minbucket	maxdepth	prob_corte	xval_folds	ganancia	iteracion
20230513 152505	-0.332671850102488	10025.2650857718	695.278060548752	12	0.062076333985664	5	49269000	1
20230513 152517	-0.258196665910073	12688.4775285157	3312.30458566544	20	0.0331145343666431	5	37773000	2
20230513 152527	-0.739043609664077	5854.21263300877	1086.3397228708	6	0.0725547094012145	5	47898000	3
20230513 152541	-0.19767059888225	11350.8511552227	1831.84773037691	15	0.0901285305286292	5	36489000	4
20230513 152552	-0.527477474522311	13366.4241856406	4012.37028620013	11	0.0583422851018841	5	39300000	5
20230513 152604	-0.878372226784704	7563.71009174322	2192.04783574488	9	0.0544447308247909	5	49500000	6
20230513 152612	0.0106802034529392	9224.64844627109	3809.38366578909	3	0.0451067849255633	5	0	7
20230513 152628	-0.398366495765513	6070.29844219987	475.861580217641	18	0.0975186517694965	5	36957000	8
20230513 152636	0.0473896684020294	19432.631225467	1628.73515736866	16	0.032119079143391	5	0	9
20230513 152645	-0.6708003045246	17323.5195929955	2590.86139768393	5	0.017994880155311	5	22860000	10
20230513 152658	-0.9503105707129	8574.3116237186	3002.47950567382	17	0.0815594892181689	5	42750000	11
20230513 152708	-0.0266996750212274	14406.5733226702	1329.83103279102	7	0.0751494688300882	5	36489000	12
20230513 152719	-0.926494859551312	18451.4582747201	4669.09976600349	7	0.0843016290167579	5	37788000	13
20230513 152730	-0.114193412549794	16239.1360613436	4376.28986304675	10	0.0212404417952057	5	27708000	14
20230513 152745	-0.65214823710965	15269.8341671308	134.477710323408	16	0.0267123395014787	5	33690000	15
20230513 152756	-0.836483497829177	17102.2966336866	3796.00487435795	20	0.019300223372411	5	22860000	16
20230513 152805	0.092456929134205	11993.6297938418	251.28803693261	7	0.0525478467890061	5	0	17
20230513 152816	-0.387883217697963	14820.1192921338	4474.74165278054	16	0.0382542547052726	5	41160000	18
20230513 152826	-0.697220515352674	4418.49913940402	1564.95344377551	6	0.0836799236480147	5	48228000	19
20230513 152840	-0.52314817821607	13671.5975734468	371.825247331057	12	0.0553471718495712	5	39300000	20
20230513 152856	-0.660358555608905	8023.59031624083	2094.83675363245	14	0.059785788128272	5	49689000	21
20230513 152910	-0.452867082550961	9048.09729056341	1585.5207407492	11	0.0667422477698233	5	48756000	22
20230513 152926	-0.784528488664475	4558.18584877744	2278.26861730712	15	0.057577665305228	5	50691000	23
20230513 152941	-0.63492545574407	4463.09841785529	2081.32815648062	9	0.0544501636031449	5	50673000	24
20230513 152952	-0.299048040108103	14767.9238978919	1348.1757209728	6	0.0774080580084127	5	36489000	25
20230513 153009	-0.415263684293197	8338.47996839965	464.780083007703	20	0.0548357073397423	5	49707000	26
20230513 153026	-0.707114302318584	6015.47012667299	646.4033406139	15	0.0477019522577906	5	49479000	27
20230513 153041	-0.439528141843867	9929.10691749097	936.807106914866	15	0.0427690107884279	5	49194000	28
20230513 153053	-0.757917487898379	4127.39129798615	2055.1582017498	5	0.043336487549541	5	50862000	29
20230513 153108	-0.712330459087416	5344.53829903446	2668.46594693379	10	0.0493873722220058	5	50253000	30
20230513 153123	-0.886644607233075	4226.44605461569	1318.31339166046	8	0.0528855293198973	5	50472000	31
20230513 153138	-0.712204098395083	3002.96217269296	1203.07544887494	10	0.0561287728070542	5	51807000	32
20230513 153148	-0.810489458352668	3415.44431924353	1705.96141153454	3	0.0604141676908718	5	50313000	33
20230513 153205	-0.822601694916306	2740.38039176806	1359.76906171552	12	0.0357835816630947	5	48561000	34
20230513 153220	-0.763118371181775	3917.77658054719	107.554593401513	10	0.0546183266091494	5	50475000	35
20230513 153236	-0.705818315701582	3807.02282512345	1694.56844156647	11	0.0546352438969262	5	50424000	36
20230513 153247	-0.641998984864875	1301.42727756427	644.156355580362	5	0.0604805302316038	5	49116000	37
20230513 153305	-0.780709700353596	2071.62575996291	1026.15147225924	13	0.0770260186294161	5	49773000	38
20230513 153318	-0.573188246013367	7536.29339233869	389.838168129473	8	0.0462743657090518	5	49269000	39
20230513 153332	-0.769112284801605	2425.43575357577	1163.28940263515	7	0.0530909552821441	5	52263000	40
20230513 153347	-0.490870074787791	2727.14845324038	984.831183384457	8	0.0476752258229599	5	51798000	41
20230513 153401	-0.590003136396373	2637.06723469624	1111.06881137648	8	0.0443329198652914	5	51909000	42
20230513 153416	-0.549652366199928	2767.2244407433	730.252439944333	9	0.0614313569008419	5	49104000	43
20230513 153430	-0.431406643470779	4651.60308538492	986.95798780304	8	0.0292299732645954	5	48498000	44
20230513 153440	-0.657190733019599	2742.79809329048	675.156458218448	4	0.045578700672134	5	49887000	45
20230513 153459	-0.472632150078839	1688.08888946304	840.964190091853	18	0.0382552716724867	5	51210000	46
20230513 153519	-0.381936559866313	2363.29174288312	1179.77070737203	13	0.0442897637265973	5	51405000	47
20230513 153536	-0.477360633091015	2857.07788445123	1423.45585493656	14	0.0412403023635412	5	51462000	48
20230513 153554	-0.425215031085316	393.39171232329	187.425289401799	10	0.0286118123083544	5	48480000	49
20230513 153613	-0.783348904558704	9601.84494877737	26.2662627471166	17	0.05583720051769	5	49251000	50
20230513 153628	-0.4459592312845	1893.80650522006	939.899740023517	9	0.0426685768580477	5	51453000	51
20230513 153650	-0.741777707344142	537.202864225015	268.352370474408	20	0.051241614115106	5	55626000	52
20230513 153717	-0.824626034950957	17.7185195908679	8.64297476669313	20	0.0561821469839398	5	33114000	53
20230513 153732	-0.713238955356504	5383.50016971019	2688.83886024303	17	0.0924185692881803	5	41637000	54
20230513 153747	-0.431362854251139	5443.86160593249	2426.80199986343	20	0.0547465006733077	5	49596000	55
20230513 153807	-0.716122224359608	1117.07029325768	537.665399046929	20	0.0392788124397046	5	51444000	56
20230513 153817	-0.967528006094869	3617.10341487684	1766.65282768875	3	0.0432966199302023	5	50313000	57
