fecha	objective	metric	first_metric_only	boost_from_average	feature_pre_filter	verbosity	max_depth	max_bin	num_iterations	force_row_wise	seed	learning_rate	feature_fraction	min_data_in_leaf	num_leaves	envios	lambda_l1	lambda_l2	 min_gain_to_split	ganancia	iteracion
20230516 192008	binary	custom	TRUE	TRUE	FALSE	-100	-1	31	7	TRUE	999961	0.209899108556492	0.509339625237044	5159	534	9448	60.4685076243186	19.9454860157857	277.386631001718	51945000	1
20230516 192015	binary	custom	TRUE	TRUE	FALSE	-100	-1	31	6	TRUE	999961	0.119499176767786	0.663490214687772	3473	261	7448	47.7066845924128	33.7376340496121	554.545265411434	49545000	2
20230516 192022	binary	custom	TRUE	TRUE	FALSE	-100	-1	31	7	TRUE	999961	0.136955859648369	0.846381528652273	2641	640	10226	66.5824689742294	18.5658347392746	596.712739526993	52485000	3
20230516 192029	binary	custom	TRUE	TRUE	FALSE	-100	-1	31	5	TRUE	999961	0.17017782163668	0.603938377980376	4068	801	8872	6.00985847922857	64.1863952412677	856.940895042499	53070000	4
20230516 192037	binary	custom	TRUE	TRUE	FALSE	-100	-1	31	4	TRUE	999961	0.289311571963117	0.429144636902492	5520	181	11069	62.8620634131948	25.9186239120027	528.784736983653	46485000	5
20230516 192045	binary	custom	TRUE	TRUE	FALSE	-100	-1	31	4	TRUE	999961	0.159431420750989	0.550228100619279	2322	976	10787	98.4311871841783	24.7685561385879	710.959793752409	52965000	6
20230516 192054	binary	custom	TRUE	TRUE	FALSE	-100	-1	31	6	TRUE	999961	0.257069854648871	0.32539305377868	1795	454	8673	70.4134784711641	86.1741376065766	421.501242832164	53550000	7
20230516 192059	binary	custom	TRUE	TRUE	FALSE	-100	-1	31	4	TRUE	999961	0.197189229449432	0.631237766245613	6357	811	12953	30.4288460785756	35.3621370690234	901.30617437535	49230000	8
20230516 192106	binary	custom	TRUE	TRUE	FALSE	-100	-1	31	8	TRUE	999961	0.200335448975748	0.714781233039685	4843	412	11639	74.5493516842544	59.4670975828194	152.119697268063	55695000	9
20230516 192114	binary	custom	TRUE	TRUE	FALSE	-100	-1	31	5	TRUE	999961	0.190806587657571	0.549340477236547	6634	83	7767	58.2290475285845	54.6059197062277	809.64826469426	49905000	10
20230516 192123	binary	custom	TRUE	TRUE	FALSE	-100	-1	31	19	TRUE	999961	0.0626020445888571	0.858086307847407	5782	359	10446	45.2371452833177	52.2036355971068	458.138571528252	54945000	11
20230516 192134	binary	custom	TRUE	TRUE	FALSE	-100	-1	31	13	TRUE	999961	0.0936515825623792	0.398352668719599	4425	598	13506	23.8571945752483	13.699620954867	286.519509114441	55605000	12
20230516 192141	binary	custom	TRUE	TRUE	FALSE	-100	-1	31	6	TRUE	999961	0.117447113854505	0.730671472050017	2838	493	6077	88.7902637980005	44.989598079701	574.486869692919	47655000	13
20230516 192149	binary	custom	TRUE	TRUE	FALSE	-100	-1	31	4	TRUE	999961	0.175764015368186	0.417514128686162	364	59	5683	12.6505080152128	4.77346397456131	837.430459032475	43200000	14
20230516 192158	binary	custom	TRUE	TRUE	FALSE	-100	-1	31	2	TRUE	999961	0.150112046712093	0.455912824725965	4671	912	6340	37.2157051584509	66.8416716216598	395.821862541197	48420000	15
20230516 192205	binary	custom	TRUE	TRUE	FALSE	-100	-1	31	10	TRUE	999961	0.108659885087836	0.989270232920535	1438	746	14959	81.436667185335	48.7494988497929	487.363777814608	53895000	16
20230516 192217	binary	custom	TRUE	TRUE	FALSE	-100	-1	31	12	TRUE	999961	0.0797763370216125	0.234845541341929	778	565	11406	53.9167553142761	81.6776257968741	625.71678457607	56265000	17
20230516 192233	binary	custom	TRUE	TRUE	FALSE	-100	-1	31	10	TRUE	999961	0.0254927784167376	0.814577070064843	6066	319	8211	94.7050289774779	88.2900004457042	32.6311784374411	52290000	18
20230516 192250	binary	custom	TRUE	TRUE	FALSE	-100	-1	31	23	TRUE	999961	0.037757974134438	0.597327431477606	3639	116	5344	10.0366560342081	93.3576673691277	110.780821996741	46740000	19
20230516 192256	binary	custom	TRUE	TRUE	FALSE	-100	-1	31	16	TRUE	999961	0.244420266713932	0.933254924113862	3122	212	7954	25.2709186468564	42.8035343386	24.5428852867917	52590000	20
20230516 192301	binary	custom	TRUE	TRUE	FALSE	-100	-1	31	6	TRUE	999961	0.245928157589515	0.691845355415717	1615	706	14177	1.47002582598361	71.7102519556647	353.587123332545	53115000	21
20230516 192321	binary	custom	TRUE	TRUE	FALSE	-100	-1	31	13	TRUE	999961	0.0308876611709275	0.31746708022547	6841	382	9372	41.3997159601422	8.42140246822964	757.231128896819	54330000	22
20230516 192325	binary	custom	TRUE	TRUE	FALSE	-100	-1	31	2	TRUE	999961	0.268381076501755	0.876994311698945	3843	462	12083	85.9814021416241	38.3502107317327	932.228458375903	43800000	23
20230516 192334	binary	custom	TRUE	TRUE	FALSE	-100	-1	31	8	TRUE	999961	0.233389290286359	0.485967448895099	2159	957	13216	90.9703325705777	80.2351680074935	163.671756919939	55395000	24
20230516 192346	binary	custom	TRUE	TRUE	FALSE	-100	-1	31	33	TRUE	999961	0.0889133889763616	0.265824869566131	7583	665	14017	31.9004191267595	99.5646142015175	228.943102003541	55515000	25
20230516 192354	binary	custom	TRUE	TRUE	FALSE	-100	-1	31	3	TRUE	999961	0.280852056486619	0.280058682902018	1107	1022	7061	17.4305755521345	56.2642594552017	942.597594417748	50100000	26
20230516 192406	binary	custom	TRUE	TRUE	FALSE	-100	-1	31	31	TRUE	999961	0.0465140961615543	0.956716673035408	7821	879	12373	19.0366858718335	29.0945318309241	340.018468938069	56610000	27
20230516 192417	binary	custom	TRUE	TRUE	FALSE	-100	-1	31	16	TRUE	999961	0.130276072809938	0.369888251880184	135	293	9984	77.9678365870495	1.58703332635923	192.811189641361	52860000	28
20230516 192436	binary	custom	TRUE	TRUE	FALSE	-100	-1	31	40	TRUE	999961	0.0184477507511474	0.794149151077727	5283	44	14507	39.2235832761799	72.3066240963817	992.991672675998	51645000	29
20230516 192441	binary	custom	TRUE	TRUE	FALSE	-100	-1	31	4	TRUE	999961	0.291942868795086	0.751530905254185	7450	147	5188	8.90401580400066	75.1572638495418	665.23219224473	41925000	30
20230516 192449	binary	custom	TRUE	TRUE	FALSE	-100	-1	31	6	TRUE	999961	0.0672530607975932	0.918108681146987	624	730	6769	51.232134692691	96.3581657510076	62.7440041134832	49785000	31
20230516 192457	binary	custom	TRUE	TRUE	FALSE	-100	-1	31	9	TRUE	999961	0.220718239398557	0.214751083898591	7238	844	12549	80.2885083729052	12.2167328700016	718.84400658746	46005000	32
20230516 192509	binary	custom	TRUE	TRUE	FALSE	-100	-1	31	22	TRUE	999961	0.193075348055417	0.352111989458575	127	644	12379	63.8628420565933	94.1938879634986	5.92097397160257	57315000	33
20230516 192530	binary	custom	TRUE	TRUE	FALSE	-100	-1	31	20	TRUE	999961	0.0318792266132818	0.411676204684764	2286	1004	13086	2.92524401731923	64.1219940044279	783.476853346591	55425000	34
20230516 192609	binary	custom	TRUE	TRUE	FALSE	-100	-1	31	183	TRUE	999961	0.0216853825289039	0.606467031177648	7941	538	14131	45.7844991705966	28.7997150934928	11.1700755484026	58290000	35
20230516 192636	binary	custom	TRUE	TRUE	FALSE	-100	-1	31	89	TRUE	999961	0.0349550170644513	0.224631352151499	3803	490	14888	67.1976228840116	54.9339961837715	0.23996549049883	57225000	36
20230516 192747	binary	custom	TRUE	TRUE	FALSE	-100	-1	31	513	TRUE	999961	0.0140452932048634	0.760985289728396	6948	580	14495	0.419344295861497	23.1915338036772	4.23381328314996	61755000	37
20230516 192931	binary	custom	TRUE	TRUE	FALSE	-100	-1	31	848	TRUE	999961	0.0136985115645677	0.88578371988202	5809	619	14988	9.34791802552845	60.7846312848482	1.00131916228287	61845000	38
20230516 193008	binary	custom	TRUE	TRUE	FALSE	-100	-1	31	255	TRUE	999961	0.0317042759951323	0.854424315000956	6486	472	14960	0.178960308752421	50.5048466530967	3.40324730795749	62400000	39
20230516 193100	binary	custom	TRUE	TRUE	FALSE	-100	-1	31	413	TRUE	999961	0.0176736061382557	0.877643248813136	7262	115	14919	2.52324778433833	47.223969115198	3.66410580350218	61695000	40
20230516 193122	binary	custom	TRUE	TRUE	FALSE	-100	-1	31	160	TRUE	999961	0.0623656910370569	0.995551012855164	5591	463	14995	3.89041972399893	15.240877234855	1.33052685900956	62295000	41
20230516 193146	binary	custom	TRUE	TRUE	FALSE	-100	-1	31	155	TRUE	999961	0.0308547043237469	0.925285396014592	3791	375	13927	1.18070630093344	31.5340554786315	10.7953022144146	60825000	42
20230516 193217	binary	custom	TRUE	TRUE	FALSE	-100	-1	31	224	TRUE	999961	0.104043591021431	0.998733624766223	3989	1021	14995	0.134568124442896	89.6452123171136	0.697996254435882	63855000	43
20230516 193247	binary	custom	TRUE	TRUE	FALSE	-100	-1	31	157	TRUE	999961	0.118604163858538	0.98170353240741	2538	1015	14991	0.143152041536606	65.6241975382508	0.390099759515167	65310000	44
20230516 193308	binary	custom	TRUE	TRUE	FALSE	-100	-1	31	157	TRUE	999961	0.154515123198281	0.97108032822999	2816	1024	14611	0.138332679832964	59.0593350540712	0.498720371427699	64650000	45
20230516 193322	binary	custom	TRUE	TRUE	FALSE	-100	-1	31	94	TRUE	999961	0.10499893530441	0.829252509101649	479	1024	14577	1.71070447359651	62.2380098692634	1.68147254161884	63315000	46
20230516 193339	binary	custom	TRUE	TRUE	FALSE	-100	-1	31	112	TRUE	999961	0.137938235869116	0.999324787353462	1934	943	14997	0.882224906146349	85.2408439100068	0.699582486329249	64575000	47
20230516 193348	binary	custom	TRUE	TRUE	FALSE	-100	-1	31	24	TRUE	999961	0.125480321292008	0.999647800588959	2121	1014	12713	0.938931473140402	63.3467779825634	32.4785739829107	57630000	48
20230516 193400	binary	custom	TRUE	TRUE	FALSE	-100	-1	31	69	TRUE	999961	0.140765158415919	0.930338292145325	2496	953	14996	28.5059132401548	47.1100552898956	0.393749189652958	59895000	49
20230516 193416	binary	custom	TRUE	TRUE	FALSE	-100	-1	31	99	TRUE	999961	0.206692974035359	0.80102605829279	7067	975	14995	0.112316817338695	56.1586165937559	0.501524937320816	63855000	50
20230516 193433	binary	custom	TRUE	TRUE	FALSE	-100	-1	31	91	TRUE	999961	0.178957378851317	0.662477633774793	3184	42	14986	0.15565538565277	83.524513645138	0.465477469250531	63645000	51
20230516 193450	binary	custom	TRUE	TRUE	FALSE	-100	-1	31	77	TRUE	999961	0.234911947139332	0.43162769706206	2856	674	14978	0.10339284349404	45.858824937095	0.770230922812494	63915000	52
20230516 193510	binary	custom	TRUE	TRUE	FALSE	-100	-1	31	57	TRUE	999961	0.171463668645678	0.746438844010533	1422	104	14999	0.111922008284069	28.811274516414	0.199016862544287	65655000	53
20230516 193526	binary	custom	TRUE	TRUE	FALSE	-100	-1	31	48	TRUE	999961	0.250654203685938	0.845281865333413	91	206	14999	0.159964260555971	35.6329326408635	0.224278476304314	64455000	54
20230516 193537	binary	custom	TRUE	TRUE	FALSE	-100	-1	31	56	TRUE	999961	0.188746514957739	0.730328714521012	2396	132	15000	0.0706586744774911	17.2470444883474	1.31654411374625	64320000	55
20230516 193554	binary	custom	TRUE	TRUE	FALSE	-100	-1	31	68	TRUE	999961	0.139979147976598	0.85760461544624	1096	56	14998	2.81852131191487	36.2020117953576	0.293090215281091	64215000	56
20230516 193605	binary	custom	TRUE	TRUE	FALSE	-100	-1	31	49	TRUE	999961	0.172459214492844	0.672153977016287	808	259	14998	0.13228913255874	24.0460396821558	1.08950596613825	63255000	57
20230516 193624	binary	custom	TRUE	TRUE	FALSE	-100	-1	31	105	TRUE	999961	0.222204305160082	0.707092136075367	2812	59	14994	0.135188294018389	38.5073856374597	0.275828498402135	64950000	58
20230516 193632	binary	custom	TRUE	TRUE	FALSE	-100	-1	31	29	TRUE	999961	0.265573649120772	0.918741374982897	535	50	14981	81.9393481564314	73.3891033395263	0.0165532135196158	56700000	59
20230516 193713	binary	custom	TRUE	TRUE	FALSE	-100	-1	31	15	TRUE	999961	0.0114123277167762	0.297551191430421	2684	1023	9348	66.645219308266	99.4713497859272	999.442901940735	54045000	60
20230516 193745	binary	custom	TRUE	TRUE	FALSE	-100	-1	31	67	TRUE	999961	0.0106020533471559	0.989363942900848	7788	187	14834	67.677097446351	0.311974064021117	260.515684102399	54510000	61
20230516 193835	binary	custom	TRUE	TRUE	FALSE	-100	-1	31	144	TRUE	999961	0.0108099664907469	0.21485249259778	35	1020	11894	99.9926428514472	97.1265999200745	399.03947652202	57810000	62
20230516 193924	binary	custom	TRUE	TRUE	FALSE	-100	-1	31	119	TRUE	999961	0.0119109197550434	0.296067659174634	1932	31	14982	99.8828630577782	98.1220662059632	413.622828373189	55620000	63
20230516 193933	binary	custom	TRUE	TRUE	FALSE	-100	-1	31	40	TRUE	999961	0.120592148445587	0.685521601615757	7929	1018	14963	99.9391959478659	87.1787648306827	1.89969097035803	57600000	64
20230516 194009	binary	custom	TRUE	TRUE	FALSE	-100	-1	31	233	TRUE	999961	0.0785629511929194	0.278920119709027	3349	977	14994	0.0797015429428066	51.718410866865	0.47713592622143	64830000	65
20230516 194019	binary	custom	TRUE	TRUE	FALSE	-100	-1	31	33	TRUE	999961	0.274690535468756	0.200123392370944	7951	130	6054	93.5639931598752	99.9009764815044	1.5058846206446	48570000	66
20230516 194048	binary	custom	TRUE	TRUE	FALSE	-100	-1	31	6	TRUE	999961	0.018413504967613	0.272503669048053	7988	994	8282	0.0141229246608996	91.9802656599401	982.407575775902	53040000	67
20230516 194119	binary	custom	TRUE	TRUE	FALSE	-100	-1	31	90	TRUE	999961	0.0109755724762634	0.899887595254375	6417	1024	14802	59.4386169799724	99.9358674905323	637.478551522612	53040000	68
20230516 194308	binary	custom	TRUE	TRUE	FALSE	-100	-1	31	662	TRUE	999961	0.0264411975158754	0.20296350977351	1775	33	14996	0.0770885957051061	51.3747572326085	0.180381077924849	65895000	69
20230516 194319	binary	custom	TRUE	TRUE	FALSE	-100	-1	31	41	TRUE	999961	0.281696302083915	0.276476289156526	1665	98	14985	0.820665471503056	70.385880302178	3.57086183330986	61245000	70
20230516 194405	binary	custom	TRUE	TRUE	FALSE	-100	-1	31	224	TRUE	999961	0.0574021082160646	0.492228716388315	1918	64	14996	0.0439020527266432	38.5755137988948	0.383145688016232	65055000	71
20230516 194436	binary	custom	TRUE	TRUE	FALSE	-100	-1	31	149	TRUE	999961	0.0307096464805602	0.271952003727923	2341	16	14993	0.129130839734945	32.8950391771365	19.8958174438031	57630000	72
20230516 194527	binary	custom	TRUE	TRUE	FALSE	-100	-1	31	307	TRUE	999961	0.0381142329034512	0.488255085896678	1270	93	14990	3.68078951210725	56.4540230433471	1.63959217010524	62670000	73
20230516 194539	binary	custom	TRUE	TRUE	FALSE	-100	-1	31	44	TRUE	999961	0.123996532726151	0.204567571996157	7371	152	14990	0.103271935966436	57.7328499979074	8.51250741023774	58350000	74
20230516 194555	binary	custom	TRUE	TRUE	FALSE	-100	-1	31	73	TRUE	999961	0.101007396913326	0.205224395230816	440	858	14317	0.0331684270893659	52.1253927267084	10.8661474512795	58815000	75
20230516 194700	binary	custom	TRUE	TRUE	FALSE	-100	-1	31	497	TRUE	999961	0.0540893933605384	0.258246320439628	3009	751	14981	5.86960167880197	85.2540224557455	0.0408745072526625	64500000	76
20230516 194708	binary	custom	TRUE	TRUE	FALSE	-100	-1	31	21	TRUE	999961	0.158577221080124	0.871726741525168	3414	962	14347	0.0841897309076775	7.7475276804386	36.2293700838908	56925000	77
20230516 194741	binary	custom	TRUE	TRUE	FALSE	-100	-1	31	213	TRUE	999961	0.0474795331031067	0.235420494297317	3067	255	14958	1.22132367049781	84.1573842261592	2.60214255216838	61575000	78
20230516 194751	binary	custom	TRUE	TRUE	FALSE	-100	-1	31	16	TRUE	999961	0.210336635930006	0.478393253593741	2665	51	14995	5.97222549322821	48.7897044352983	16.0795465559737	56895000	79
20230516 194805	binary	custom	TRUE	TRUE	FALSE	-100	-1	31	82	TRUE	999961	0.274265953919783	0.700582033161097	4993	948	14864	0.407020179039189	40.4749913762527	0.461336289132604	64140000	80
20230516 194815	binary	custom	TRUE	TRUE	FALSE	-100	-1	31	16	TRUE	999961	0.145057658541463	0.239543729940235	3430	830	14997	0.139564984594013	86.0676477101304	224.356538330476	54135000	81
20230516 194838	binary	custom	TRUE	TRUE	FALSE	-100	-1	31	85	TRUE	999961	0.217330362328979	0.927651401571555	1427	957	11644	0.127074229473614	58.8125562776579	0.016550956130796	66360000	82
20230516 194847	binary	custom	TRUE	TRUE	FALSE	-100	-1	31	31	TRUE	999961	0.221628171164406	0.961786901465886	576	945	14882	1.1993807492539	67.2029575624416	2.67873753806943	61320000	83
20230516 194901	binary	custom	TRUE	TRUE	FALSE	-100	-1	31	68	TRUE	999961	0.0770618132574377	0.676342703263974	1958	53	14972	21.8283173172904	43.5592828982342	1.02741321984755	60450000	84
20230516 194919	binary	custom	TRUE	TRUE	FALSE	-100	-1	31	81	TRUE	999961	0.18395615495096	0.798092333763465	1727	275	14738	0.324682419775073	79.470654514013	0.262479476732282	64755000	85
20230516 194930	binary	custom	TRUE	TRUE	FALSE	-100	-1	31	72	TRUE	999961	0.220332902479479	0.844242394089113	1221	920	11627	4.46872615141228	54.5894613992316	0.716473864971747	63885000	86
20230516 194945	binary	custom	TRUE	TRUE	FALSE	-100	-1	31	37	TRUE	999961	0.100611323618234	0.496976992277382	1539	743	14989	32.5662956899933	11.9669346882929	1.35402717894598	58845000	87
20230516 195003	binary	custom	TRUE	TRUE	FALSE	-100	-1	31	100	TRUE	999961	0.177252057368477	0.93241348988543	4856	29	14397	0.65647574920221	67.1400924678091	0.468166957526731	65295000	88
20230516 195013	binary	custom	TRUE	TRUE	FALSE	-100	-1	31	53	TRUE	999961	0.247295739589896	0.730444842444122	5295	315	14966	1.31408641486902	41.0606052117149	1.0250055778938	63105000	89
20230516 195047	binary	custom	TRUE	TRUE	FALSE	-100	-1	31	217	TRUE	999961	0.180475340605444	0.439539890013158	7345	440	11251	0.164377258331131	63.0778226435372	0.0170863132059544	64770000	90
20230516 195140	binary	custom	TRUE	TRUE	FALSE	-100	-1	31	346	TRUE	999961	0.0723448613706598	0.448590818653488	7058	900	12943	0.461784745929566	64.8518852782442	0.611973359876659	63780000	91
20230516 195156	binary	custom	TRUE	TRUE	FALSE	-100	-1	31	81	TRUE	999961	0.268505735733176	0.395654085225281	7002	872	14687	0.205611292300184	53.8340513184105	1.46083204644051	61785000	92
20230516 195210	binary	custom	TRUE	TRUE	FALSE	-100	-1	31	77	TRUE	999961	0.205153021614972	0.954637939210216	6999	747	11894	0.371009967342839	65.3278738607306	0.181005213582876	64530000	93
20230516 195235	binary	custom	TRUE	TRUE	FALSE	-100	-1	31	128	TRUE	999961	0.180493161588774	0.553761121961367	7449	896	12318	0.234545315159137	53.8594158624005	0.0696111984748987	64335000	94
20230516 195500	binary	custom	TRUE	TRUE	FALSE	-100	-1	31	1386	TRUE	999961	0.0142880734922372	0.200185746126716	1981	851	11419	0.41717166588753	95.3419344408404	2.4053572682739	61395000	95
20230516 195522	binary	custom	TRUE	TRUE	FALSE	-100	-1	31	153	TRUE	999961	0.237724418696146	0.617036263562448	3429	945	14837	1.54335291663269	44.8570164504814	0.239109453978865	63855000	96
20230516 195536	binary	custom	TRUE	TRUE	FALSE	-100	-1	31	76	TRUE	999961	0.210559504876575	0.967935985371563	2881	1023	11731	0.737977998275983	43.3727952030186	0.584591042464961	64890000	97
20230516 195607	binary	custom	TRUE	TRUE	FALSE	-100	-1	31	195	TRUE	999961	0.183267433561464	0.444869786652131	7423	936	11295	0.957541699070146	82.5759079634216	0.237898476843143	63435000	98
20230516 195652	binary	custom	TRUE	TRUE	FALSE	-100	-1	31	283	TRUE	999961	0.0657035642885461	0.446890235747904	2230	904	14968	0.855130945009636	72.0715548153438	0.733649169089941	64905000	99
