envios	gan_sum	g1	g2	g3	g4	g5	gan_suavizada
1	-3000	-3000	-3000	-3000	-3000	-3000	
2	-6000	-6000	-6000	-6000	-6000	-6000	
3	-9000	-9000	-9000	-9000	-9000	-9000	
4	-12000	-12000	-12000	-12000	-12000	-12000	
5	-15000	-15000	-15000	-15000	-15000	-15000	
6	-18000	-18000	-18000	-18000	-18000	-18000	
7	-21000	-21000	-21000	-21000	-21000	-21000	
8	0	-24000	-24000	96000	-24000	-24000	
9	-3000	-27000	-27000	93000	-27000	-27000	
10	-6000	-30000	-30000	90000	-30000	-30000	
11	-9000	-33000	-33000	87000	-33000	-33000	
12	36000	84000	-36000	204000	-36000	-36000	
13	33000	81000	-39000	201000	-39000	-39000	
14	54000	78000	-42000	198000	-42000	78000	
15	75000	195000	-45000	195000	-45000	75000	
16	72000	192000	-48000	192000	-48000	72000	
17	69000	189000	-51000	189000	-51000	69000	
18	90000	186000	66000	186000	-54000	66000	
19	111000	183000	183000	183000	-57000	63000	
20	108000	180000	180000	180000	-60000	60000	
21	129000	177000	177000	177000	-63000	177000	
22	126000	174000	174000	174000	-66000	174000	
23	123000	171000	171000	171000	-69000	171000	
24	120000	168000	168000	168000	-72000	168000	
25	117000	165000	165000	165000	-75000	165000	
26	114000	162000	162000	162000	-78000	162000	
27	111000	159000	159000	159000	-81000	159000	
28	108000	156000	156000	156000	-84000	156000	
29	129000	153000	273000	153000	-87000	153000	
30	174000	150000	270000	270000	30000	150000	
31	171000	147000	267000	267000	27000	147000	
32	168000	144000	264000	264000	24000	144000	
33	165000	141000	261000	261000	21000	141000	
34	186000	138000	258000	258000	138000	138000	
35	183000	135000	255000	255000	135000	135000	
36	180000	132000	252000	252000	132000	132000	
37	177000	129000	249000	249000	129000	129000	
38	174000	126000	246000	246000	126000	126000	
39	171000	123000	243000	243000	123000	123000	
40	168000	120000	240000	240000	120000	120000	
41	189000	117000	237000	237000	117000	237000	
42	186000	114000	234000	234000	114000	234000	
43	207000	111000	231000	231000	231000	231000	
44	204000	108000	228000	228000	228000	228000	
45	201000	105000	225000	225000	225000	225000	
46	198000	102000	222000	222000	222000	222000	
47	195000	99000	219000	219000	219000	219000	
48	192000	96000	216000	216000	216000	216000	
49	213000	213000	213000	213000	213000	213000	
50	210000	210000	210000	210000	210000	210000	
51	207000	207000	207000	207000	207000	207000	
52	204000	204000	204000	204000	204000	204000	
53	201000	201000	201000	201000	201000	201000	
54	198000	198000	198000	198000	198000	198000	
55	195000	195000	195000	195000	195000	195000	
56	192000	192000	192000	192000	192000	192000	
57	189000	189000	189000	189000	189000	189000	
58	186000	186000	186000	186000	186000	186000	
59	183000	183000	183000	183000	183000	183000	
60	180000	180000	180000	180000	180000	180000	
61	177000	177000	177000	177000	177000	177000	
62	174000	174000	174000	174000	174000	174000	
63	171000	171000	171000	171000	171000	171000	
64	168000	168000	168000	168000	168000	168000	
65	165000	165000	165000	165000	165000	165000	
66	162000	162000	162000	162000	162000	162000	
67	159000	159000	159000	159000	159000	159000	
68	156000	156000	156000	156000	156000	156000	
69	153000	153000	153000	153000	153000	153000	
70	150000	150000	150000	150000	150000	150000	
71	147000	147000	147000	147000	147000	147000	
72	144000	144000	144000	144000	144000	144000	
73	141000	141000	141000	141000	141000	141000	
74	138000	138000	138000	138000	138000	138000	
75	135000	135000	135000	135000	135000	135000	
76	132000	132000	132000	132000	132000	132000	
77	129000	129000	129000	129000	129000	129000	
