Feature	Gain	Cover	Frequency
ctrx_quarter	0.107783747332709	0.00642962507704653	0.00107938017965277
cdescubierto_preacordado_delta2	0.0558906842571085	0.00111011507653873	0.000274418689742229
mcaja_ahorro_rank	0.0302606741740707	0.00421205730828197	0.00149100821426611
ctrx_quarter_normalizado	0.0289189199560951	0.00375278260062513	0.000887287096833208
mcuentas_saldo_rank	0.0230140841508108	0.00707440497326856	0.00268930315947385
vm_mpagospesos_rank	0.0219427252802893	0.00137461316537841	0.000722635882987871
mcaja_ahorro_rank_lag2	0.0196566810390861	0.00126772826750913	0.00140868260734344
vm_status06	0.0193376398782124	0.000422550297018824	0.000228682241451858
mpayroll_rank	0.0170122914701663	0.00983971080487518	0.00149100821426611
mprestamos_personales_rank	0.0163976419321666	0.0097000589285848	0.00291798540092571
mpayroll_sobre_edad_rank	0.0143510395350431	0.00839612945005518	0.0013903880280273
mtarjeta_visa_consumo_rank	0.0141901539819084	0.00316730418951944	0.00124403139349811
ctarjeta_visa_transacciones	0.0106374267048824	0.00314639794423143	0.00107023288999469
ctrx_quarter_lag1	0.0102323585395783	0.000990642331544032	0.000622015696749053
mprestamos_personales_rank_lag1	0.0101929463807125	0.00185367820582758	0.00133550429007885
cdescubierto_preacordado	0.0101364934463893	0.00217585948200223	0.00213131849033132
mpasivos_margen_rank	0.00983592839190164	0.00349403329808563	0.00376868333912662
vm_status05_delta3	0.00910232543012221	0.00146709547069466	0.000320155138032601
mautoservicio_rank	0.00889518270186689	0.00349049135957862	0.00204899288340865
mcuenta_corriente_rank	0.0084259488076939	0.00365886205801724	0.00317410951135179
Visa_mpagospesos_rank	0.00704308411491918	0.00134822872010415	0.00240573718007354
vm_msaldototal_rank	0.00697758933755111	0.000656330066308583	0.000814108779568614
mcuentas_saldo_rank_delta3	0.00668902178795161	0.00311319809378527	0.00544263734655422
ctarjeta_visa	0.00649915435734267	0.000991548713099182	0.000164651213845338
mprestamos_personales_rank_delta3	0.00644141827309839	0.00284267402460707	0.00134465157973692
mprestamos_personales_rank_delta2	0.00606199706587246	0.0111437541344961	0.00184775251093101
vm_Finiciomora_delta1	0.0056242969541506	0.00177506954472661	0.000356744296664898
mcaja_ahorro_rank_lag1	0.00515131715544549	0.00211585777633183	0.00153674466255648
mprestamos_personales_rank_lag2	0.00460390092490945	0.00197497977070286	0.00139953531768537
ctrx_quarter_normalizado_lag3	0.00442298136456946	0.000681260547907147	0.00153674466255648
foto_mes	0.00434323769642294	0.003919904373076	0.00268015586981577
mpayroll_sobre_edad_rank_lag1	0.00431407590922682	0.00267326505443439	0.00080496148991054
mprestamos_personales_rank_delta1	0.00425977583729441	0.00753014758792773	0.00158248111084686
Visa_Finiciomora	0.00407332906057968	0.00222400389055623	0.000475659062219864
mactivos_margen_rank	0.00400501785735202	0.00557489068515113	0.00507674576023124
mcuentas_saldo_rank_delta2	0.00378524968426971	0.00242679581121803	0.00458279211869523
Visa_delinquency	0.00373568022862481	0.00124009179061666	0.000878139807175134
vm_Finiciomora_lag1	0.00369000833920491	0.0017353128493641	0.000493953641536013
mcomisiones_mantenimiento_rank_delta3	0.00361419539429022	0.0023044132887091	0.00169224858674375
mpasivos_margen_rank_lag1	0.00360979855577683	0.00148175583057632	0.00314666764237756
vmr_mpagospesos	0.00358841548305279	0.000727156612158785	0.000740930462304019
vm_status04_delta2	0.00340485983345588	0.000190187488148154	6.40310276065202e-05
vm_Finiciomora	0.00333378942578444	0.00294463861266071	0.000686046724355573
Visa_Finiciomora_delta1	0.00333257384130279	0.00100567853878923	0.000219534951793784
mpayroll_rank_lag1	0.00314606054817911	0.00149330798298019	0.0010336437313624
thomebanking	0.0028200290818572	0.00194670412862974	0.00476573791185672
ctrx_quarter_normalizado_delta3	0.00277208972147553	0.00175357692997585	0.00317410951135179
mcuenta_corriente_rank_lag1	0.00274392341158468	0.00194152281370053	0.00185689980058909
vm_msaldopesos_rank	0.00266872167551555	0.0015841965712498	0.000987907283072026
vmr_mpagominimo	0.00265873217582539	0.00117125496273603	0.00150930279358226
Visa_msaldototal_rank	0.00263372568187655	0.00157768016560674	0.00161907026947915
ctrx_quarter_normalizado_delta2	0.00250014466013024	0.00166527896613222	0.00246976820768006
ccaja_ahorro_delta2	0.00247447030654624	0.00259967813171851	0.000420775324271418
mcuentas_saldo_rank_lag1	0.00247130938964149	0.00122071642291629	0.00158248111084686
mrentabilidad_annual_rank_delta1	0.00241998865624774	0.00201960946457435	0.00584511809150949
ctrx_quarter_delta2	0.00241831220896332	0.00177222538191562	0.00276248147673844
mpayroll_rank_lag2	0.00241338779285353	0.00156883665158654	0.000969612703755877
ccaja_ahorro_delta3	0.00234767165940317	0.00288871387294152	0.000420775324271418
cpayroll_trx	0.00234621815893667	0.00139741794203937	7.31783172645945e-05
cproductos_delta2	0.00233340378923296	0.00347037632320956	0.000548837379484459
mcomisiones_otras_rank_delta3	0.00226409939379227	0.0013417090105989	0.00418945866339804
ccomisiones_mantenimiento_delta3	0.00225523344726002	0.00248597611066899	0.000585426538116756
mtransferencias_recibidas_rank	0.00215322458835985	0.00414498679120915	0.0032747296975906
cdescubierto_preacordado_delta3	0.00215039373590435	0.000507478717884882	0.000246976820768006
mrentabilidad_annual_rank_delta2	0.00210191767854485	0.00216070598764904	0.00606465304330327
mactivos_margen_rank_lag1	0.00205690860326739	0.00401630875928367	0.00386930352536543
mcaja_ahorro_rank_delta3	0.00201220628984512	0.00186308786967388	0.00225938054554436
mrentabilidad_annual_rank_lag3	0.00200617193663856	0.00220175224650432	0.00490294725672783
mprestamos_personales_rank_lag3	0.00199916389772666	0.00128810900047607	0.00127147326247233
ctrx_quarter_delta3	0.00199131181534664	0.00182912786661341	0.00289969082160956
vm_mconsumototal_rank	0.00199129086267525	0.000779719341706208	0.000521395510510236
mcuentas_saldo_rank_lag2	0.00198354008968463	0.00191176320888296	0.00297286913887415
mrentabilidad_rank_delta3	0.00198072696758722	0.00203843725015418	0.00513162949817969
mrentabilidad_annual_rank_lag2	0.00197329574026293	0.00268134953915343	0.00467426501527597
mcuenta_debitos_automaticos_rank	0.00196494396210308	0.00368341100960928	0.00134465157973692
ctrx_quarter_delta1	0.00196185644049778	0.00181006649797626	0.00125317868315618
cproductos_delta3	0.00192105911819219	0.00136234685012202	0.000393333455297195
vm_status06_delta2	0.0019156759180374	0.000291807417297395	7.31783172645945e-05
Visa_mpagominimo_rank	0.00189894887783711	0.00280894357389206	0.00289969082160956
vm_mpagominimo_rank	0.00187052711204909	0.00240979208795722	0.0017105431660599
mrentabilidad_rank_delta1	0.00184504734795989	0.00182244065129476	0.00508589304988932
vm_status05_delta2	0.00184324545367635	0.00126971203852675	0.000137209344871115
cproductos_delta1	0.00184055279180307	0.00136756265737257	0.000265271400084155
vm_status01	0.00184015187786889	0.00157849833404123	0.000585426538116756
active_quarter	0.0018181777016612	0.000391147417221665	0.00113426391760121
mcomisiones_rank_lag2	0.00180961144348335	0.00134962275171959	0.00393333455297196
mcomisiones_rank_lag3	0.00179565091158594	0.00168156594952799	0.00408883847715922
ctrx_quarter_normalizado_lag1	0.00178045198784624	0.000634031573490712	0.000484806351877939
mcomisiones_rank_delta3	0.0017775270223332	0.00163382613193865	0.00455535024972101
mttarjeta_visa_debitos_automaticos_rank_delta3	0.00177249588081001	0.00329244834436168	0.0026710085801577
internet_lag1	0.00174639959548404	0.0041053489688085	0.000512248220852162
mv_status07_rank_lag2	0.0017452541022719	0.000189989851111524	0.000219534951793784
tcallcenter	0.00173775333862738	0.00186983587605696	0.00177457419366642
mcomisiones_otras_rank_lag2	0.00173575931626403	0.00156900627187174	0.00423519511168841
mcuenta_corriente_rank_delta3	0.00173161466075343	0.00282840920310765	0.00200325643511827
mactivos_margen_rank_delta2	0.00171540800115923	0.00256472485552712	0.00543349005689614
mcomisiones_rank_delta2	0.00165471988289987	0.0014091575555843	0.00439984632553375
mcomisiones_mantenimiento_rank	0.00165055370165257	0.00572234198893019	0.00203984559375057
mpayroll_sobre_edad_rank_lag2	0.0016492232028418	0.00107083122993387	0.000887287096833208
cliente_vip_lag1	0.00161945307278133	0.00300893851089504	0.000658604855381351
mcuenta_corriente_rank_lag3	0.00161934254209914	0.00269640358725449	0.00193007811785368
mactivos_margen_rank_delta1	0.00160765818807429	0.00154761475530421	0.00500356744296665
mcomisiones_otras_rank_delta2	0.0016054040704093	0.00158211229674414	0.00483891622912131
mcuentas_saldo_rank_delta1	0.00156521767335504	0.00350884556955111	0.00287224895263533
ctrx_quarter_normalizado_delta1	0.0015577399347589	0.00196055609950901	0.00137209344871115
mpasivos_margen_rank_delta1	0.00155149496498499	0.00197221569351153	0.00464682314630175
mpayroll_rank_delta2	0.00149925053941035	0.00290834945282854	0.00132635700042078
mrentabilidad_annual_rank	0.00149924288503999	0.00222386010647341	0.00368635773220395
mcomisiones_rank	0.00148931136518314	0.00162537557928816	0.00425348969100456
mpasivos_margen_rank_delta3	0.00148679223305196	0.00135857198933011	0.00443643548416604
mcomisiones_otras_rank_lag3	0.00148580109942738	0.00141341504456596	0.00343023362177787
mrentabilidad_annual_rank_lag1	0.00148220389879667	0.00146734246743252	0.0040248074495527
mrentabilidad_annual_rank_delta3	0.00147841900107101	0.0018658635103829	0.00506759847057317
mactivos_margen_rank_delta3	0.00147805246419336	0.00233674521455609	0.00508589304988932
vm_status05_lag2	0.00145184187718757	4.98967109860997e-05	9.14728965807431e-05
vm_status06_delta3	0.00143996491352228	0.00184866162146751	0.000228682241451858
thomebanking_lag2	0.00143358735287409	0.00104147073166971	0.00418945866339804
internet	0.00140290312809146	0.0055470416377649	0.000411628034613344
mrentabilidad_rank	0.00139233761522077	0.00171762073337591	0.0032747296975906
mplazo_fijo_dolares_rank	0.00138165652079131	0.00705514557113131	0.000695194014013648
mrentabilidad_rank_delta2	0.00136845422095979	0.00173339773260293	0.00418031137373996
mactivos_margen_rank_lag2	0.00136120057397927	0.0030580329119852	0.00401566015989462
tcallcenter_delta3	0.00135572421007378	0.00132087313757568	0.00108852746931084
