envios	gan_sum	g1	g2	g3	g4	g5	gan_suavizada
1	-3000	-3000	-3000	-3000	-3000	-3000	
2	-6000	-6000	-6000	-6000	-6000	-6000	
3	-9000	-9000	-9000	-9000	-9000	-9000	
4	-12000	-12000	-12000	-12000	-12000	-12000	
5	-15000	-15000	-15000	-15000	-15000	-15000	
6	-18000	-18000	-18000	-18000	-18000	-18000	
7	-21000	-21000	-21000	-21000	-21000	-21000	
8	-24000	-24000	-24000	-24000	-24000	-24000	
9	-27000	-27000	-27000	-27000	-27000	-27000	
10	-30000	-30000	-30000	-30000	-30000	-30000	
11	-33000	-33000	-33000	-33000	-33000	-33000	
12	-36000	-36000	-36000	-36000	-36000	-36000	
13	-39000	-39000	-39000	-39000	-39000	-39000	
14	6000	78000	-42000	-42000	78000	-42000	
15	3000	75000	-45000	-45000	75000	-45000	
16	24000	72000	72000	-48000	72000	-48000	
17	21000	69000	69000	-51000	69000	-51000	
18	18000	66000	66000	-54000	66000	-54000	
19	15000	63000	63000	-57000	63000	-57000	
20	36000	60000	60000	60000	60000	-60000	
21	57000	57000	57000	57000	57000	57000	
22	54000	54000	54000	54000	54000	54000	
23	75000	51000	51000	51000	51000	171000	
24	72000	48000	48000	48000	48000	168000	
25	93000	45000	45000	45000	165000	165000	
26	90000	42000	42000	42000	162000	162000	
27	87000	39000	39000	39000	159000	159000	
28	84000	36000	36000	36000	156000	156000	
29	81000	33000	33000	33000	153000	153000	
30	102000	30000	30000	150000	150000	150000	
31	99000	27000	27000	147000	147000	147000	
32	96000	24000	24000	144000	144000	144000	
33	93000	21000	21000	141000	141000	141000	
34	114000	18000	138000	138000	138000	138000	
35	111000	15000	135000	135000	135000	135000	
36	108000	12000	132000	132000	132000	132000	
37	105000	9000	129000	129000	129000	129000	
38	126000	126000	126000	126000	126000	126000	
39	147000	123000	123000	123000	243000	123000	
40	144000	120000	120000	120000	240000	120000	
41	141000	117000	117000	117000	237000	117000	
42	162000	114000	114000	234000	234000	114000	
43	159000	111000	111000	231000	231000	111000	
44	156000	108000	108000	228000	228000	108000	
45	153000	105000	105000	225000	225000	105000	
46	150000	102000	102000	222000	222000	102000	
47	171000	99000	99000	219000	339000	99000	
48	192000	216000	96000	216000	336000	96000	
49	213000	213000	93000	213000	333000	213000	
50	234000	210000	90000	210000	330000	330000	
51	231000	207000	87000	207000	327000	327000	
52	252000	204000	204000	204000	324000	324000	
53	273000	321000	201000	201000	321000	321000	
54	318000	318000	198000	318000	438000	318000	
55	315000	315000	195000	315000	435000	315000	
56	312000	312000	192000	312000	432000	312000	
57	309000	309000	189000	309000	429000	309000	
58	306000	306000	186000	306000	426000	306000	
59	303000	303000	183000	303000	423000	303000	
60	324000	420000	180000	3e+05	420000	3e+05	
61	345000	417000	177000	297000	417000	417000	
62	366000	414000	294000	294000	414000	414000	
63	387000	411000	411000	291000	411000	411000	
64	384000	408000	408000	288000	408000	408000	
65	381000	405000	405000	285000	405000	405000	
66	378000	402000	402000	282000	402000	402000	
67	399000	399000	399000	399000	399000	399000	
68	420000	516000	396000	396000	396000	396000	
69	441000	513000	393000	513000	393000	393000	
70	462000	630000	390000	510000	390000	390000	
71	459000	627000	387000	507000	387000	387000	
72	456000	624000	384000	504000	384000	384000	
73	453000	621000	381000	501000	381000	381000	
74	450000	618000	378000	498000	378000	378000	
75	471000	615000	375000	495000	375000	495000	
76	492000	612000	492000	492000	372000	492000	
77	489000	609000	489000	489000	369000	489000	
