Feature	Gain	Cover	Frequency
mcaja_ahorro_rank	0.0772355306117933	0.0140770141635235	0.00652537025351694
ctrx_quarter_normalizado	0.0609796788929169	0.00946726195454018	0.00517055788575034
ctrx_quarter	0.053158690083645	0.0088241887726834	0.00484763000631009
vm_status01	0.0502413061587365	0.00634076686100114	0.00280242010318845
cdescubierto_preacordado	0.0426983569688871	0.0103435181458079	0.00968783638320775
mpayroll_rank	0.0346022055412192	0.0106390755909913	0.0025574403325786
mcuentas_saldo_rank	0.0327484064045623	0.0156937168705339	0.0103151330685572
mprestamos_personales_rank	0.0304682608011747	0.0183878965090636	0.00719349690063472
mtarjeta_visa_consumo_rank	0.0270143699069562	0.00517872061122595	0.00442819494450837
mcuenta_corriente_rank	0.0262074537147114	0.0172419677078987	0.0137485616718013
ctarjeta_visa_transacciones	0.0258715317745212	0.00996280932311649	0.00380461007386511
mpasivos_margen_rank	0.0245489128930808	0.0112140806236373	0.0169295868750232
foto_mes	0.0171637180504177	0.0193365102289274	0.0115734382539624
mpayroll_sobre_edad_rank	0.0169370412037653	0.0100244055463716	0.00272076017965183
Visa_mpagospesos_rank	0.0136892817240555	0.00857288984228136	0.0184699899781003
mrentabilidad_annual_rank	0.0135097232917692	0.0223200055330848	0.0278163394083367
mactivos_margen_rank	0.0112896618072731	0.0176636616353068	0.020481793548866
active_quarter	0.010525285045641	0.00257927981914161	0.0042500278386103
ctarjeta_visa	0.010467239344671	0.00227150139327289	0.000311792435321629
mautoservicio_rank	0.0103048799225457	0.00903213195775476	0.00664786013882187
vm_Finiciomora	0.0100004285937132	0.0102753778148493	0.00253145762963513
Master_fechaalta	0.00969141124278784	0.0168439812794055	0.0253665417022382
Visa_Finiciomora	0.00941198831202511	0.0119142070473108	0.00216769978842656
thomebanking	0.00909180862309456	0.00895197366825311	0.0249248357521993
mcomisiones_rank	0.00891334303011974	0.0095789348653789	0.0224416317137449
Visa_delinquency	0.00877119481594918	0.00349083046536297	0.00279499647377603
Master_Fvencimiento	0.00831526963635161	0.0137040236947301	0.0266731004788241
mrentabilidad_rank	0.00784704944933089	0.0122462570981142	0.0215136780371924
mcomisiones_otras_rank	0.00777079960542329	0.0106601053402502	0.0227237296314168
vmr_mpagospesos	0.00743224046205468	0.00492064133839785	0.00678890909765785
vm_msaldopesos_rank	0.00739635986037862	0.00385731694693768	0.0042129096915482
mtransferencias_recibidas_rank	0.00729880175185919	0.0121185912955985	0.0176905088897962
Visa_Fvencimiento	0.00718490674811243	0.0101066654975167	0.0171300248691585
vm_mpagominimo_rank	0.00706247461258391	0.00652663786670622	0.00763149103596749
mcomisiones_mantenimiento_rank	0.00690471202720754	0.0160602551418785	0.0117107753980921
vm_mpagospesos_rank	0.00686252163460498	0.00353298817711047	0.00407928436212464
