envios	gan_sum	g1	g2	g3	g4	g5	gan_suavizada
1	-3000	-3000	-3000	-3000	-3000	-3000	
2	-6000	-6000	-6000	-6000	-6000	-6000	
3	-9000	-9000	-9000	-9000	-9000	-9000	
4	-12000	-12000	-12000	-12000	-12000	-12000	
5	33000	105000	-15000	105000	-15000	-15000	
6	30000	102000	-18000	102000	-18000	-18000	
7	27000	99000	-21000	99000	-21000	-21000	
8	48000	96000	-24000	96000	96000	-24000	
9	45000	93000	-27000	93000	93000	-27000	
10	42000	90000	-30000	90000	90000	-30000	
11	63000	87000	-33000	87000	87000	87000	
12	60000	84000	-36000	84000	84000	84000	
13	81000	81000	81000	81000	81000	81000	
14	78000	78000	78000	78000	78000	78000	
15	75000	75000	75000	75000	75000	75000	
16	72000	72000	72000	72000	72000	72000	
17	69000	69000	69000	69000	69000	69000	
18	66000	66000	66000	66000	66000	66000	
19	63000	63000	63000	63000	63000	63000	
20	60000	60000	60000	60000	60000	60000	
21	57000	57000	57000	57000	57000	57000	
22	54000	54000	54000	54000	54000	54000	
23	99000	51000	51000	171000	51000	171000	
24	96000	48000	48000	168000	48000	168000	
25	93000	45000	45000	165000	45000	165000	
26	90000	42000	42000	162000	42000	162000	
27	87000	39000	39000	159000	39000	159000	
28	84000	36000	36000	156000	36000	156000	
29	81000	33000	33000	153000	33000	153000	
30	78000	30000	30000	150000	30000	150000	
31	123000	147000	27000	147000	27000	267000	
32	120000	144000	24000	144000	24000	264000	
33	117000	141000	21000	141000	21000	261000	
34	114000	138000	18000	138000	18000	258000	
35	111000	135000	15000	135000	15000	255000	
36	132000	132000	132000	132000	12000	252000	
37	153000	249000	129000	129000	9000	249000	
38	150000	246000	126000	126000	6000	246000	
39	171000	243000	243000	123000	3000	243000	
40	168000	240000	240000	120000	0	240000	
41	189000	237000	237000	117000	117000	237000	
42	210000	234000	234000	114000	234000	234000	
43	207000	231000	231000	111000	231000	231000	
44	204000	228000	228000	108000	228000	228000	
45	201000	225000	225000	105000	225000	225000	
46	198000	222000	222000	102000	222000	222000	
47	195000	219000	219000	99000	219000	219000	
48	192000	216000	216000	96000	216000	216000	
49	189000	213000	213000	93000	213000	213000	
50	186000	210000	210000	90000	210000	210000	
51	183000	207000	207000	87000	207000	207000	
52	180000	204000	204000	84000	204000	204000	
53	177000	201000	201000	81000	201000	201000	
54	174000	198000	198000	78000	198000	198000	
55	171000	195000	195000	75000	195000	195000	
56	168000	192000	192000	72000	192000	192000	
57	165000	189000	189000	69000	189000	189000	
58	162000	186000	186000	66000	186000	186000	
59	183000	183000	183000	183000	183000	183000	
60	204000	3e+05	180000	180000	180000	180000	
61	201000	297000	177000	177000	177000	177000	
62	198000	294000	174000	174000	174000	174000	
63	195000	291000	171000	171000	171000	171000	
64	216000	288000	288000	168000	168000	168000	
65	261000	405000	285000	285000	165000	165000	
66	282000	402000	282000	282000	162000	282000	
67	279000	399000	279000	279000	159000	279000	
68	276000	396000	276000	276000	156000	276000	
69	273000	393000	273000	273000	153000	273000	
70	270000	390000	270000	270000	150000	270000	
71	267000	387000	267000	267000	147000	267000	
72	264000	384000	264000	264000	144000	264000	
73	285000	381000	261000	261000	141000	381000	
74	282000	378000	258000	258000	138000	378000	
75	303000	375000	255000	255000	255000	375000	
76	3e+05	372000	252000	252000	252000	372000	
77	321000	369000	249000	369000	249000	369000	
78	318000	366000	246000	366000	246000	366000	
79	315000	363000	243000	363000	243000	363000	
