Feature	Gain	Cover	Frequency
mcaja_ahorro_rank	0.0804767885318497	0.0139957709494183	0.00921403197158082
ctrx_quarter	0.0745904055232698	0.00344911724701766	0.00357460035523979
ctrx_quarter_normalizado	0.047758214131858	0.00813797272686576	0.00508436944937833
ctrx_quarter_normalizado_lag1	0.0476277374895136	0.00126909783651042	0.0025088809946714
mtarjeta_visa_consumo_rank	0.0457226440317332	0.00245705551920696	0.00266429840142096
vm_status01	0.035659257588505	0.00163205506091987	0.00230905861456483
mpayroll_rank	0.0343278025067999	0.00802356466296729	0.00481793960923624
mcuentas_saldo_rank	0.0318949727846185	0.00968791732196165	0.00912522202486679
mprestamos_personales_rank	0.0291121991435612	0.00995886755358171	0.0103685612788632
cdescubierto_preacordado	0.0271495556588143	0.00547974466254122	0.00739342806394316
ctarjeta_visa_transacciones	0.0232385891550262	0.00514563005038594	0.00408525754884547
ctrx_quarter_lag1	0.0210354060972809	0.00114798943355573	0.00235346358792185
cdescubierto_preacordado_delta1	0.0202056362544138	0.00605747411933519	0.00375222024866785
mpayroll_sobre_edad_rank	0.0200863599239919	0.00582213569372889	0.00386323268206039
mcaja_ahorro_rank_lag1	0.019809436068243	0.00351193584304484	0.0052841918294849
mcuenta_corriente_rank	0.0176765316522642	0.0068441146506837	0.0107460035523979
mpasivos_margen_rank	0.0166274102590926	0.00419063542225904	0.00617229129662522
mprestamos_personales_rank_delta1	0.0148263065381988	0.0205067653363387	0.012633214920071
foto_mes	0.0122882162854008	0.0124781306240039	0.0158303730017762
vm_status06	0.0104862163842259	0.000427954785872708	0.000688277087033748
vm_mpagospesos_rank	0.00999734153505944	0.00122799871511768	0.00182060390763766
Visa_status	0.00932383124236852	0.00114982689175096	0.00148756660746004
ctrx_quarter_delta1	0.0093022279727318	0.00467720299522429	0.00466252220248668
mprestamos_personales_rank_lag1	0.00896466435013683	0.00706596250582848	0.00632770870337478
mpayroll_rank_lag1	0.00806179835967662	0.00212009875598669	0.0022202486678508
vm_Finiciomora_lag1	0.00772228869885368	0.00505345287350355	0.00301953818827709
cpayroll_trx	0.00746532378348997	0.00699153973040154	0.00253108348134991
vm_Finiciomora	0.00738521329256856	0.00429635814643397	0.00279751332149201
vm_status04_delta1	0.0066101045145591	0.000625647867113687	0.00077708703374778
mautoservicio_rank	0.00625359378536056	0.00277144907034716	0.00204262877442274
