Feature	Gain	Cover	Frequency
ctrx_quarter	0.0812048078542564	0.00230050225030613	0.00108417611085701
ctrx_quarter_normalizado_lag3	0.0421173381823019	0.00182321330575551	0.00186342769053548
mcaja_ahorro_rank_lag1	0.0389895106862035	0.001383138529427	0.00123663837644627
ctrx_quarter_lag1	0.0370642889564006	0.00130358121046368	0.000779251579678474
mcaja_ahorro_rank	0.0364675304227008	0.00393371035440318	0.0019142484457319
mcuenta_corriente_rank	0.0260796354881824	0.00484826199689911	0.00345581135335671
Visa_status	0.0195366235466592	0.00138423813960449	0.000626789314089207
mcuentas_saldo_rank	0.018909747005961	0.0044093460862237	0.00279514153580322
cdescubierto_preacordado_delta3	0.0183089234726383	0.00297526258644228	0.00103335535566059
mpayroll_sobre_edad_rank	0.01799846949649	0.00375229287286343	0.00116887736951771
ctrx_quarter_normalizado	0.0173312709952442	0.00210333127195039	0.000948654096999881
mprestamos_personales_rank	0.0170059894237421	0.00550397929255382	0.00193118869746404
mpayroll_rank	0.0144765227306025	0.00421942679748515	0.00121969812471413
vm_status01	0.0122452149132581	0.00265987238480439	0.000948654096999881
mtarjeta_visa_consumo_rank	0.0119866526401811	0.00166855696559291	0.000931713845267741
foto_mes	0.011527476313252	0.00760271755076992	0.00574274533719571
mpayroll_sobre_edad_rank_lag1	0.0112132198133273	0.00329250437129843	0.000863952838339178
Visa_mpagospesos_rank	0.0102210869913312	0.00131964636250641	0.00301536480832105
mpasivos_margen_rank	0.00951102525220501	0.00394816496818587	0.00281208178753536
mv_status07_rank_delta2	0.00945579428106814	0.00119715954182336	0.000389625789839237
cdescubierto_preacordado	0.00887181996479491	0.00347082635581591	0.00269350002541038
vm_status06	0.00877328944733005	0.000376248056602095	0.000440446545035659
cpayroll_trx	0.0072029693255032	0.00199872426465202	0.000338805034642815
mcuentas_saldo_rank_delta3	0.00624329521344261	0.00327100783077827	0.00569192458199929
vm_msaldototal_rank	0.00622656336462972	0.00111844289112096	0.000931713845267741
mautoservicio_rank	0.00587915987124424	0.00110188997176534	0.000660669817553489
cdescubierto_preacordado_delta2	0.00577895922553148	0.00153259805910222	0.0004573867967678
Visa_msaldototal_rank	0.00502780744056515	0.00123243580032214	0.00203283020785689
mprestamos_personales_rank_lag3	0.00499876169075071	0.00230082048529698	0.00142298114549982
mpayroll_sobre_edad_rank_lag2	0.00471632041477352	0.00135247611431574	0.000643729565821348
